config,prompt_tokens,network,transfer_mib_per_s,kv_mib,m1_only_prefill_ms,pd_prefill_path_ms,transfer_ms,speedup_x,pd_wins
C-nginx-1conn,1027,10gbe-est,1100.0,76.7,4984.0,1015.9,69.8,4.91,True
C-nginx-1conn,1027,1gbe-est,112.0,76.7,4984.0,1631.4,685.2,3.06,True
C-nginx-1conn,1027,wifi-measured,70.1,76.7,4984.0,2040.4,1094.2,2.44,True
C-nginx-1conn,2053,10gbe-est,1100.0,153.4,10529.6,520.4,139.5,20.23,True
C-nginx-1conn,2053,1gbe-est,112.0,153.4,10529.6,1750.6,1369.7,6.01,True
C-nginx-1conn,2053,wifi-measured,48.2,153.4,10529.6,3565.0,3184.1,2.95,True
C-nginx-1conn,4105,10gbe-est,1100.0,306.7,23177.4,955.3,278.9,24.26,True
C-nginx-1conn,4105,1gbe-est,112.0,306.7,23177.4,3415.2,2738.7,6.79,True
C-nginx-1conn,4105,wifi-measured,19.9,306.7,23177.4,16107.5,15431.0,1.44,True
C-nginx-1conn,8209,10gbe-est,1100.0,613.4,54931.3,1986.8,557.6,27.65,True
C-nginx-1conn,8209,1gbe-est,112.0,613.4,54931.3,6906.0,5476.8,7.95,True
C-nginx-1conn,8209,wifi-measured,20.7,613.4,54931.3,31071.4,29642.2,1.77,True
C-nginx-1conn,16012,10gbe-est,1100.0,1196.5,139791.3,4208.6,1087.7,33.22,True
C-nginx-1conn,16012,1gbe-est,112.0,1196.5,139791.3,13803.6,10682.6,10.13,True
C-nginx-1conn,16012,wifi-measured,30.5,1196.5,139791.3,42387.1,39266.2,3.3,True
C-nginx-8conn,1027,10gbe-est,1100.0,76.7,4984.0,292.8,69.8,17.02,True
C-nginx-8conn,1027,1gbe-est,112.0,76.7,4984.0,908.2,685.2,5.49,True
C-nginx-8conn,1027,wifi-measured,69.7,76.7,4984.0,1323.4,1100.4,3.77,True
C-nginx-8conn,2053,10gbe-est,1100.0,153.4,10529.6,486.0,139.5,21.66,True
C-nginx-8conn,2053,1gbe-est,112.0,153.4,10529.6,1716.3,1369.7,6.14,True
C-nginx-8conn,2053,wifi-measured,87.1,153.4,10529.6,2107.7,1761.1,5.0,True
C-nginx-8conn,4105,10gbe-est,1100.0,306.7,23177.4,932.3,278.9,24.86,True
C-nginx-8conn,4105,1gbe-est,112.0,306.7,23177.4,3392.2,2738.7,6.83,True
C-nginx-8conn,4105,wifi-measured,91.0,306.7,23177.4,4024.8,3371.3,5.76,True
C-nginx-8conn,8209,10gbe-est,1100.0,613.4,54931.3,1984.3,557.6,27.68,True
C-nginx-8conn,8209,1gbe-est,112.0,613.4,54931.3,6903.4,5476.8,7.96,True
C-nginx-8conn,8209,wifi-measured,89.8,613.4,54931.3,8261.0,6834.3,6.65,True
C-nginx-8conn,16012,10gbe-est,1100.0,1196.5,139791.3,4218.0,1087.7,33.14,True
C-nginx-8conn,16012,1gbe-est,112.0,1196.5,139791.3,13812.9,10682.6,10.12,True
C-nginx-8conn,16012,wifi-measured,95.6,1196.5,139791.3,15641.9,12511.6,8.94,True
C-pd-4080prefill-m1decode,1027,10gbe-est,1100.0,76.7,4984.0,427.8,69.8,11.65,True
C-pd-4080prefill-m1decode,1027,1gbe-est,112.0,76.7,4984.0,1043.2,685.2,4.78,True
C-pd-4080prefill-m1decode,1027,wifi-measured,14.8,76.7,4984.0,5536.4,5178.4,0.9,False
C-pd-4080prefill-m1decode,2053,10gbe-est,1100.0,153.4,10529.6,830.3,139.5,12.68,True
C-pd-4080prefill-m1decode,2053,1gbe-est,112.0,153.4,10529.6,2060.5,1369.7,5.11,True
C-pd-4080prefill-m1decode,2053,wifi-measured,33.9,153.4,10529.6,5220.0,4529.2,2.02,True
C-pd-4080prefill-m1decode,4105,10gbe-est,1100.0,306.7,23177.4,951.0,278.9,24.37,True
C-pd-4080prefill-m1decode,4105,1gbe-est,112.0,306.7,23177.4,3410.9,2738.7,6.8,True
C-pd-4080prefill-m1decode,4105,wifi-measured,25.4,306.7,23177.4,12728.2,12056.0,1.82,True
C-pd-4080prefill-m1decode,8209,10gbe-est,1100.0,613.4,54931.3,1951.4,557.6,28.15,True
C-pd-4080prefill-m1decode,8209,1gbe-est,112.0,613.4,54931.3,6870.5,5476.8,8.0,True
C-pd-4080prefill-m1decode,8209,wifi-measured,16.2,613.4,54931.3,39331.2,37937.4,1.4,True
C-pd-4080prefill-m1decode,16012,10gbe-est,1100.0,1196.5,139791.3,4172.3,1087.7,33.5,True
C-pd-4080prefill-m1decode,16012,1gbe-est,112.0,1196.5,139791.3,13767.2,10682.6,10.15,True
C-pd-4080prefill-m1decode,16012,wifi-measured,24.2,1196.5,139791.3,52620.4,49535.8,2.66,True
